employee_id,pilot_name,role,base,type_ratings,duty_status,available_from,rest_hours_remaining,trips_ytd,currency_pc12,currency_pc24
EMP-10033,Joshua Phillips,Captain,BVU,PC-12,AVAILABLE,05:00,0,347,CURRENT,N/A
EMP-10034,Amanda Campbell,Captain,PSM,PC-12,VACATION,,0,165,CURRENT,N/A
EMP-10035,Eric Parker,First Officer,PSM,PC-12,AVAILABLE,06:00,0,293,CURRENT,N/A
EMP-10036,Melissa Evans,First Officer,PSM,PC-12,ON_TRIP,,0,351,CURRENT,N/A
EMP-10037,Ryan Edwards,Captain,BVU,"PC-12,PC-24",AVAILABLE,05:00,0,237,CURRENT,CURRENT
EMP-10038,Deborah Collins,Captain,PSM,PC-12,AVAILABLE,08:00,0,233,CURRENT,N/A
EMP-10039,Jacob Stewart,Captain,BVU,PC-12,VACATION,,0,381,CURRENT,N/A
EMP-10040,Stephanie Flores,Captain,BVU,"PC-12,PC-24",AVAILABLE,08:00,0,284,CURRENT,CURRENT
EMP-10041,Gary Morris,Captain,PSM,"PC-12,PC-24",AVAILABLE,06:00,0,146,CURRENT,CURRENT
EMP-10042,Rebecca Rogers,First Officer,BVU,PC-12,VACATION,,0,279,CURRENT,N/A
EMP-10043,Tyler Reed,First Officer,PSM,PC-12,ON_TRIP,,0,171,CURRENT,N/A
EMP-10044,Laura Cook,Captain,PSM,"PC-12,PC-24",AVAILABLE,09:00,0,373,CURRENT,CURRENT
EMP-10045,Frank Morgan,First Officer,PSM,PC-12,AVAILABLE,09:00,0,373,CURRENT,N/A
EMP-10046,Rachel Bell,First Officer,PSM,PC-12,VACATION,,0,166,CURRENT,N/A
EMP-10047,Henry Murphy,Captain,PSM,PC-12,ON_REST,12:00,1,248,CURRENT,N/A
EMP-10048,Anna Bailey,First Officer,PSM,PC-12,AVAILABLE,07:00,0,415,CURRENT,N/A
EMP-10049,Aaron Rivera,Captain,BVU,PC-12,ON_TRIP,,0,220,CURRENT,N/A
EMP-10050,Diane Cooper,Captain,PSM,PC-12,ON_REST,16:00,2,149,CURRENT,N/A
EMP-10051,Diane Cooper,Captain,PSM,"PC-12,PC-24",AVAILABLE,07:00,0,341,CURRENT,CURRENT
EMP-10052,James Martinez,Captain,PSM,PC-12,AVAILABLE,06:00,0,304,CURRENT,N/A
