owner_id,owner_name,region,share_type,tenure_years,days_until_renewal,utilization_rate_12m,complaints_12m,days_since_last_flight,avg_satisfaction_score,churn_prob,risk_band,churned_within_12m
PL-0095,Charles Taylor,Mid-Atlantic,1/32,1.0,721,0.328,2,40,4.4,0.0559,LOW,0
PL-0330,Michael Scott,Mid-Atlantic,1/16,1.1,688,0.298,0,10,4.3,0.0529,LOW,0
PL-0261,Richard Hill,West_Coast,1/32,7.4,577,0.501,1,10,2.6,0.049,LOW,0
PL-0313,George White,Northeast,1/32,3.8,791,0.633,2,20,2.0,0.042,LOW,0
PL-0237,John Anderson,Mid-Atlantic,1/8,1.0,711,0.683,3,4,1.7,0.0387,LOW,0
PL-0007,Ruth Nguyen,Northeast,1/32,1.6,498,0.748,4,23,2.46,0.0379,LOW,0
PL-0036,Susan Smith,Southeast,1/32,3.5,919,0.999,1,17,3.03,0.0364,LOW,0
PL-0286,Laura Sanchez,Mid-Atlantic,1/16,1.2,649,0.444,3,13,3.88,0.0339,LOW,0
PL-0276,George Torres,Mid-Atlantic,1/16,0.8,811,0.263,0,14,3.8,0.033,LOW,0
PL-0087,William Lewis,Midwest,1/32,1.5,545,0.379,0,10,3.63,0.0311,LOW,0
PL-0211,Edward White,Mid-Atlantic,1/16,6.5,928,0.817,3,10,2.9,0.03,LOW,0
PL-0128,Robert Robinson,Southeast,1/8,3.1,1054,0.82,3,7,2.67,0.0279,LOW,0
PL-0068,Anthony Sanchez,Northeast,1/32,5.3,270,0.524,0,45,4.55,0.0274,LOW,0
PL-0092,Andrew Jones,Mid-Atlantic,1/16,5.1,331,0.658,2,6,3.02,0.0264,LOW,0
PL-0225,Mark Lewis,West_Coast,1/32,4.2,655,0.442,0,6,3.68,0.0255,LOW,0
PL-0176,Brian Lewis,Northeast,1/32,0.6,871,0.337,0,18,3.73,0.0247,LOW,0
PL-0018,Helen Young,West_Coast,1/16,1.5,554,0.646,3,13,2.85,0.0241,LOW,0
PL-0025,Karen Walker,Mid-Atlantic,1/32,4.4,572,0.711,0,27,3.23,0.0225,LOW,0
PL-0102,Helen Flores,Northeast,1/32,1.2,650,0.936,3,8,2.9,0.0222,LOW,0
PL-0284,Kevin Lee,Northeast,1/8,0.6,889,0.388,2,4,2.9,0.022,LOW,0
PL-0219,Michelle Martinez,Northeast,1/8,2.8,57,0.458,1,7,3.03,0.0211,LOW,0
PL-0301,Thomas Johnson,Southeast,1/32,5.1,341,0.479,0,19,3.3,0.0206,LOW,0
PL-0101,Ronald Johnson,Mid-Atlantic,1/32,0.6,872,0.321,0,53,3.8,0.0205,LOW,0
PL-0190,Scott Moore,Northeast,1/16,3.4,954,0.424,1,10,3.8,0.0205,LOW,0
PL-0312,Ronald Scott,Mid-Atlantic,1/32,3.4,931,1.067,1,19,3.9,0.0195,LOW,0
PL-0346,Patricia Lee,Southeast,1/4,3.5,915,0.693,2,4,3.85,0.0185,LOW,0
PL-0306,Sarah Allen,Northeast,1/32,1.3,619,0.783,2,12,2.88,0.0164,LOW,0
PL-0001,Andrew Martinez,Southeast,1/8,0.6,868,0.289,1,10,2.55,0.016,LOW,0
PL-0250,Nancy Moore,Northeast,1/32,1.5,548,0.524,0,45,3.8,0.0159,LOW,0
PL-0144,Scott Taylor,Northeast,1/32,1.0,717,0.499,2,24,3.8,0.0153,LOW,0
PL-0072,Charles Scott,West_Coast,1/8,0.7,831,0.406,2,6,2.5,0.015,LOW,0
PL-0067,Edward Perez,Southeast,1/16,6.0,1,0.798,2,6,3.35,0.0143,LOW,0
PL-0029,Scott Brown,Midwest,1/16,2.3,252,0.864,3,4,2.7,0.0141,LOW,0
PL-0153,Karen Miller,Northeast,1/16,2.4,200,0.83,2,9,2.67,0.0134,LOW,0
PL-0272,Ruth Thompson,Mid-Atlantic,1/16,0.6,879,0.396,1,9,3.8,0.0126,LOW,0
PL-0046,Steven Flores,Northeast,1/8,2.6,153,0.645,4,11,3.38,0.0119,LOW,0
PL-0085,Linda Moore,Midwest,1/16,3.1,1056,0.768,1,6,3.25,0.0118,LOW,0
PL-0163,George Johnson,Southeast,1/16,4.8,443,0.467,1,11,2.6,0.0118,LOW,0
PL-0136,David Nguyen,Midwest,1/32,2.6,153,0.547,1,16,3.21,0.0116,LOW,0
PL-0309,Patricia Moore,Northeast,1/8,3.3,971,0.736,2,6,3.17,0.0115,LOW,0
PL-0139,Robert Allen,Mid-Atlantic,1/16,2.3,259,0.448,0,4,3.7,0.0111,LOW,0
PL-0334,Jennifer Thomas,Northeast,1/8,3.1,1066,0.691,2,4,3.75,0.011,LOW,0
PL-0243,George Hernandez,Mid-Atlantic,1/16,4.2,673,0.857,3,7,2.95,0.011,LOW,0
PL-0099,Andrew Garcia,Midwest,1/16,0.8,820,0.474,1,68,3.8,0.0109,LOW,0
PL-0217,Laura Young,West_Coast,1/32,3.3,986,0.627,0,22,3.8,0.01,LOW,0
PL-0125,Edward Hernandez,Mid-Atlantic,1/8,3.7,844,0.718,2,7,2.53,0.0099,LOW,0
PL-0259,William White,Mid-Atlantic,1/16,2.0,368,0.662,2,6,2.3,0.0097,LOW,0
PL-0249,Donna Davis,Northeast,1/16,1.8,446,0.5,0,34,3.0,0.0096,LOW,0
PL-0091,Brian Davis,Northeast,1/8,3.1,1043,0.461,0,4,3.8,0.0095,LOW,0
PL-0251,Steven Taylor,West_Coast,1/8,4.2,656,0.865,2,12,1.9,0.0093,LOW,0
PL-0325,Sharon Rodriguez,West_Coast,1/32,0.8,785,0.382,0,110,3.45,0.0092,LOW,0
PL-0210,Brian Garcia,Mid-Atlantic,1/16,0.8,820,0.276,0,29,3.55,0.0091,LOW,0
PL-0263,Charles Williams,Mid-Atlantic,1/16,0.6,883,0.333,0,12,4.4,0.0089,LOW,0
PL-0045,James Torres,Mid-Atlantic,1/32,1.5,547,0.722,1,8,3.46,0.0089,LOW,0
PL-0248,Anthony Flores,Mid-Atlantic,1/32,2.8,74,0.619,1,20,2.55,0.0089,LOW,0
PL-0340,Ronald Lopez,Northeast,1/8,1.2,664,0.459,4,13,3.58,0.0087,LOW,0
PL-0115,Lisa Martin,Midwest,1/32,3.4,953,1.149,0,9,3.15,0.0086,LOW,0
PL-0291,Brian Martin,West_Coast,1/8,0.8,819,0.46,2,6,3.55,0.0081,LOW,0
PL-0090,Carol Gonzalez,Mid-Atlantic,1/16,2.3,241,0.5,1,13,3.83,0.0078,LOW,0
PL-0288,Robert Sanchez,Southeast,1/32,1.7,470,0.753,0,30,3.85,0.0078,LOW,0
PL-0004,Robert Garcia,West_Coast,1/8,2.6,144,0.76,2,6,2.53,0.0077,LOW,0
PL-0320,Brian Allen,Northeast,1/32,3.4,937,0.727,1,20,3.03,0.0076,LOW,0
PL-0256,Susan Lewis,West_Coast,1/8,2.8,75,0.366,0,17,3.13,0.0075,LOW,0
PL-0060,Kevin Taylor,West_Coast,1/32,2.4,201,0.673,1,4,3.03,0.0074,LOW,0
PL-0080,Helen Allen,Southeast,1/16,1.1,701,0.673,3,17,3.38,0.0074,LOW,0
PL-0049,Kevin Davis,Northeast,1/32,0.8,796,0.37,0,24,4.15,0.0069,LOW,0
PL-0234,Mark White,West_Coast,1/16,0.8,821,0.315,1,30,3.05,0.0068,LOW,0
PL-0069,Patricia Hernandez,West_Coast,1/32,3.6,879,1.045,2,18,3.66,0.0066,LOW,0
PL-0205,James Wright,Southeast,1/8,2.0,360,0.448,1,4,3.25,0.0066,LOW,0
PL-0114,Sarah Brown,Northeast,1/32,2.0,354,0.841,2,11,3.1,0.0065,LOW,0
PL-0344,Nancy Wilson,Southeast,1/8,2.7,106,0.648,2,8,3.7,0.0065,LOW,0
PL-0254,George Taylor,Southeast,1/16,1.2,677,0.384,1,22,2.2,0.0064,LOW,0
PL-0113,Helen Thomas,Midwest,1/32,1.8,448,0.772,1,4,3.8,0.0064,LOW,0
PL-0105,Karen Rodriguez,West_Coast,1/8,2.0,366,0.328,0,4,4.15,0.0063,LOW,0
PL-0328,Ronald Miller,Northeast,1/32,0.9,773,0.777,2,6,2.55,0.0061,LOW,0
PL-0267,Scott Scott,Northeast,1/4,3.9,755,0.771,2,4,4.0,0.006,LOW,0
PL-0159,William Nguyen,Northeast,1/4,8.6,165,0.442,0,8,3.97,0.006,LOW,0
PL-0197,Jessica Miller,West_Coast,1/32,4.7,475,1.002,1,15,3.65,0.0059,LOW,0
PL-0220,Brian Brown,Northeast,1/32,0.8,791,0.365,0,15,4.1,0.0059,LOW,0
PL-0138,Scott Martinez,Northeast,1/32,0.8,805,0.456,1,13,3.2,0.0059,LOW,0
PL-0201,Lisa Rodriguez,Northeast,1/8,2.8,79,0.451,1,20,3.8,0.0058,LOW,0
PL-0204,Kenneth Taylor,West_Coast,1/16,5.3,256,0.67,2,7,4.13,0.0058,LOW,0
PL-0026,Michael Martin,Southeast,1/8,0.7,830,0.429,1,4,3.27,0.0057,LOW,0
PL-0308,Andrew White,Northeast,1/32,4.2,677,0.772,1,9,3.8,0.0056,LOW,0
PL-0187,Ruth Gonzalez,Northeast,1/8,1.3,630,0.424,2,14,3.75,0.0055,LOW,0
PL-0054,Charles Wright,Northeast,1/8,1.7,471,0.329,0,7,4.15,0.0055,LOW,0
PL-0235,Laura Williams,Southeast,1/16,3.4,957,0.706,2,12,3.23,0.0054,LOW,0
PL-0327,James Thomas,Southeast,1/16,0.7,850,0.405,1,9,3.3,0.0054,LOW,0
PL-0048,Sarah Thompson,Southeast,1/32,4.4,589,0.873,1,15,2.9,0.005,LOW,0
PL-0016,Lisa Thomas,Northeast,1/4,4.4,568,0.806,2,4,3.6,0.0049,LOW,0
PL-0135,John Martin,Midwest,1/16,1.4,566,0.585,2,35,3.4,0.0048,LOW,0
PL-0134,George Nguyen,West_Coast,1/32,0.8,783,0.475,0,8,4.4,0.0046,LOW,0
PL-0223,Linda Lopez,Mid-Atlantic,1/4,2.0,372,0.469,0,4,3.55,0.0046,LOW,0
PL-0280,Elizabeth Hernandez,Midwest,1/16,3.0,13,0.717,1,7,4.0,0.0045,LOW,0
PL-0177,Nancy Young,Northeast,1/8,1.2,647,0.749,3,6,3.42,0.0045,LOW,0
PL-0244,William Williams,Southeast,1/16,3.5,928,0.957,1,8,1.9,0.0045,LOW,0
PL-0310,Kenneth Hernandez,West_Coast,1/32,2.0,351,0.615,0,44,3.1,0.0044,LOW,0
PL-0141,David Johnson,West_Coast,1/4,1.8,437,0.825,2,4,2.95,0.0043,LOW,0
PL-0158,Karen Harris,Northeast,1/16,5.1,316,0.851,1,10,2.95,0.004,LOW,0
PL-0052,Sarah Walker,Southeast,1/16,1.4,582,0.526,1,6,3.2,0.004,LOW,0
PL-0269,Donna Garcia,Southeast,1/16,4.1,692,0.615,2,18,1.2,0.0039,LOW,0
PL-0107,Karen Brown,Northeast,1/16,3.3,978,0.798,1,18,3.7,0.0038,LOW,0
PL-0162,Steven Anderson,Northeast,1/4,3.4,945,0.553,1,4,3.95,0.0036,LOW,0
PL-0326,Laura Walker,Northeast,1/8,1.6,527,0.693,2,5,2.83,0.0036,LOW,0
PL-0229,Edward Garcia,Northeast,1/16,2.4,223,0.557,1,4,1.8,0.0036,LOW,0
PL-0129,James Taylor,Northeast,1/16,6.6,889,0.661,1,5,3.8,0.0036,LOW,0
PL-0329,Karen Sanchez,Midwest,1/16,5.0,369,0.659,0,4,3.8,0.0035,LOW,0
PL-0096,George Young,Southeast,1/32,1.6,528,0.602,2,22,3.16,0.0034,LOW,0
PL-0127,Michelle Thomas,Northeast,1/16,1.7,459,0.501,1,14,4.05,0.0034,LOW,0
PL-0094,Joseph Martinez,Mid-Atlantic,1/8,3.9,760,0.893,2,7,3.44,0.0034,LOW,0
PL-0343,Karen Scott,Northeast,1/16,2.2,273,0.773,0,10,4.5,0.0034,LOW,0
PL-0246,Richard Clark,West_Coast,1/16,2.2,292,0.745,2,17,2.45,0.0034,LOW,0
PL-0166,Andrew Davis,Midwest,1/16,3.8,804,0.505,0,9,4.1,0.0034,LOW,0
PL-0167,Andrew Perez,West_Coast,1/32,2.0,351,0.993,2,8,3.3,0.0033,LOW,0
PL-0023,Mark Thompson,Northeast,1/16,0.9,758,0.723,1,27,3.55,0.0031,LOW,0
PL-0005,William Thomas,Northeast,1/16,6.8,816,0.57,1,8,4.16,0.0031,LOW,0
PL-0064,Laura Flores,West_Coast,1/32,1.1,694,0.794,0,7,3.55,0.003,LOW,0
PL-0258,Linda Hill,Southeast,1/16,4.2,663,0.895,1,5,3.42,0.0029,LOW,0
PL-0022,William Scott,Northeast,1/8,5.4,212,0.668,0,5,2.65,0.0029,LOW,0
PL-0172,Richard Brown,West_Coast,1/4,0.7,838,0.464,1,8,4.2,0.0029,LOW,0
PL-0168,Linda Smith,Southeast,1/32,3.9,774,0.822,1,18,3.57,0.0028,LOW,0
PL-0278,Carol Martinez,Midwest,1/8,4.3,631,0.559,0,4,4.3,0.0027,LOW,0
PL-0117,Karen Thompson,Mid-Atlantic,1/16,0.7,833,0.442,0,12,4.3,0.0027,LOW,0
PL-0157,Nancy Robinson,Southeast,1/8,2.0,380,0.726,1,4,2.85,0.0027,LOW,0
PL-0124,Thomas Smith,Southeast,1/8,3.0,1,0.792,1,4,3.9,0.0027,LOW,0
PL-0295,Jennifer Walker,West_Coast,1/8,5.4,232,0.405,1,4,2.95,0.0026,LOW,0
PL-0238,Anthony Harris,Northeast,1/8,1.7,484,0.533,1,4,3.46,0.0026,LOW,0
PL-0331,Michelle King,Midwest,1/8,4.2,670,0.742,1,4,3.53,0.0026,LOW,0
PL-0110,William Taylor,Midwest,1/16,1.4,588,0.766,2,6,2.75,0.0026,LOW,0
PL-0019,Nancy Hill,Northeast,1/16,4.9,405,0.937,1,9,1.7,0.0024,LOW,0
PL-0098,Mark Clark,Mid-Atlantic,1/8,2.6,158,0.714,1,8,2.95,0.0024,LOW,0
PL-0066,Kenneth Gonzalez,Northeast,1/8,0.9,755,0.73,1,7,3.8,0.0024,LOW,0
PL-0200,James Rodriguez,Northeast,1/16,2.0,372,0.704,0,5,4.3,0.0023,LOW,0
PL-0215,Lisa Gonzalez,Mid-Atlantic,1/32,0.6,891,0.352,0,16,3.5,0.0022,LOW,0
PL-0165,Charles Clark,Northeast,1/8,2.9,30,0.986,2,5,3.4,0.0022,LOW,0
PL-0216,Susan Taylor,West_Coast,1/8,7.8,419,0.72,0,4,3.5,0.0022,LOW,0
PL-0319,Nancy Flores,Northeast,1/16,1.6,494,0.634,1,5,3.83,0.0021,LOW,0
PL-0333,Michael Wright,Mid-Atlantic,1/8,0.6,892,0.376,1,6,3.87,0.0021,LOW,0
PL-0264,Robert Hill,Northeast,1/4,2.7,124,0.63,1,4,3.77,0.0021,LOW,0
PL-0081,Jennifer Hill,Southeast,1/16,0.8,807,0.647,1,5,3.75,0.0021,LOW,0
PL-0287,Kevin Lopez,Mid-Atlantic,1/16,2.6,127,0.538,1,9,3.0,0.0021,LOW,0
PL-0097,Patricia Ramirez,Northeast,1/4,3.1,1054,0.817,0,6,4.35,0.0021,LOW,0
PL-0137,Michelle Harris,Northeast,1/8,3.6,891,0.887,1,7,2.94,0.0021,LOW,0
PL-0275,Edward Davis,Northeast,1/32,1.4,604,0.652,1,5,4.2,0.002,LOW,0
PL-0039,Thomas Allen,West_Coast,1/8,1.9,405,0.432,0,6,4.0,0.0019,LOW,0
PL-0183,Carol Anderson,Southeast,1/32,2.7,114,0.994,1,8,3.65,0.0019,LOW,0
PL-0027,Nancy Harris,West_Coast,1/16,1.7,471,0.531,1,9,3.1,0.0019,LOW,0
PL-0100,John Perez,Midwest,1/8,2.3,270,0.586,0,14,4.9,0.0019,LOW,0
PL-0299,Thomas Garcia,Northeast,1/16,0.9,770,0.399,0,10,3.1,0.0018,LOW,0
PL-0222,Joseph Garcia,West_Coast,1/16,1.0,746,0.374,0,35,3.8,0.0018,LOW,0
PL-0050,Anthony Walker,West_Coast,1/16,2.7,105,0.858,2,7,3.43,0.0017,LOW,0
PL-0142,Kenneth Lewis,Northeast,1/16,0.8,808,0.534,1,5,3.5,0.0016,LOW,0
PL-0273,John White,Northeast,1/16,1.0,747,0.691,1,11,3.2,0.0016,LOW,0
PL-0012,Steven Miller,Southeast,1/16,3.2,1034,0.959,0,6,3.8,0.0016,LOW,0
PL-0042,George Brown,Southeast,1/32,1.2,654,0.819,1,25,3.8,0.0016,LOW,0
PL-0322,John Brown,Southeast,1/16,2.3,260,0.499,0,9,3.8,0.0016,LOW,0
PL-0302,Linda Rodriguez,Northeast,1/32,1.5,535,0.769,1,9,1.9,0.0015,LOW,0
PL-0062,Susan Miller,Northeast,1/8,2.4,226,0.612,1,5,4.37,0.0015,LOW,0
PL-0121,Donna Sanchez,Northeast,1/32,0.9,763,0.544,1,38,3.0,0.0015,LOW,0
PL-0070,Charles Nguyen,Northeast,1/16,1.5,532,0.958,2,8,1.9,0.0015,LOW,0
PL-0268,Brian Miller,Mid-Atlantic,1/32,1.1,678,0.459,0,22,4.0,0.0015,LOW,0
PL-0149,Kevin Jackson,Mid-Atlantic,1/8,0.6,876,0.442,0,5,3.25,0.0015,LOW,0
PL-0218,Susan Young,Northeast,1/16,2.2,308,0.527,0,4,3.4,0.0014,LOW,0
PL-0241,Charles Hill,Southeast,1/16,3.6,884,0.626,1,8,3.8,0.0014,LOW,0
PL-0182,Patricia Jones,Northeast,1/4,1.1,687,0.668,0,4,2.55,0.0014,LOW,0
PL-0175,Carol Wilson,West_Coast,1/16,2.3,246,0.707,0,8,2.8,0.0014,LOW,0
PL-0199,Anthony Garcia,Southeast,1/8,2.2,285,0.718,1,4,4.1,0.0014,LOW,0
PL-0202,Helen Ramirez,Midwest,1/16,0.6,877,0.459,0,5,3.8,0.0014,LOW,0
PL-0065,Paul Garcia,Northeast,1/16,2.0,377,0.523,0,15,2.9,0.0013,LOW,0
PL-0341,Sarah Anderson,West_Coast,1/16,5.5,179,1.073,1,5,3.97,0.0013,LOW,0
PL-0164,Scott Lewis,Southeast,1/4,1.5,547,0.593,1,7,3.83,0.0013,LOW,0
PL-0227,Paul Clark,Northeast,1/16,1.5,562,0.707,1,24,3.25,0.0013,LOW,0
PL-0300,Elizabeth Garcia,Northeast,1/8,2.9,52,0.584,1,4,3.83,0.0013,LOW,0
PL-0257,Nancy Anderson,Midwest,1/8,1.8,421,0.614,1,11,1.7,0.0013,LOW,0
PL-0015,Anthony Nguyen,West_Coast,1/4,1.0,712,0.727,2,5,2.4,0.0012,LOW,0
PL-0084,Richard Scott,Southeast,1/16,2.9,21,0.818,0,11,3.87,0.0012,LOW,0
PL-0214,William Wilson,Northeast,1/4,2.0,375,0.533,1,7,4.17,0.0012,LOW,0
PL-0281,Nancy Hernandez,Northeast,1/32,0.7,829,0.45,0,15,3.67,0.0012,LOW,0
PL-0189,Kenneth Moore,Northeast,1/16,4.6,505,0.815,0,6,4.25,0.0012,LOW,0
PL-0260,Ronald Hill,West_Coast,1/32,1.2,669,0.707,0,8,3.2,0.0012,LOW,0
PL-0131,Lisa Wilson,Southeast,1/8,0.8,804,0.539,2,7,3.2,0.0012,LOW,0
PL-0316,Michael Jackson,Southeast,1/16,0.7,854,0.607,0,5,3.7,0.0012,LOW,0
PL-0009,Nancy Clark,West_Coast,1/16,1.0,728,0.899,1,4,3.5,0.0011,LOW,0
PL-0014,Scott Wright,Southeast,1/16,0.6,875,0.417,0,6,3.8,0.0011,LOW,0
PL-0133,Elizabeth Gonzalez,West_Coast,1/32,4.4,571,0.811,0,11,2.8,0.0011,LOW,0
PL-0292,Edward Harris,Mid-Atlantic,1/16,0.8,810,0.502,0,5,3.2,0.0011,LOW,0
PL-0017,Jessica Garcia,Southeast,1/16,0.9,771,0.427,0,10,4.2,0.0011,LOW,0
PL-0088,Karen Lewis,Southeast,1/8,3.0,12,0.725,0,7,3.8,0.0011,LOW,0
PL-0024,Sharon Robinson,Northeast,1/16,1.8,438,0.619,0,4,4.2,0.0011,LOW,0
PL-0063,Linda Perez,Mid-Atlantic,1/8,0.6,883,0.418,0,5,3.8,0.0011,LOW,0
PL-0071,Laura Hill,West_Coast,1/8,3.5,905,0.717,0,5,3.8,0.001,LOW,0
PL-0279,David Torres,Midwest,1/16,0.8,807,0.636,1,4,3.38,0.001,LOW,0
PL-0035,David Lopez,Northeast,1/32,1.2,642,0.861,1,9,2.95,0.001,LOW,0
PL-0348,John Ramirez,Southeast,1/4,0.8,814,0.495,0,9,3.95,0.001,LOW,0
PL-0108,Karen Johnson,Southeast,1/8,2.8,58,0.515,0,6,3.5,0.001,LOW,0
PL-0307,Sharon Taylor,West_Coast,1/32,1.8,451,0.647,1,14,4.05,0.001,LOW,0
PL-0146,Helen Jones,Midwest,1/8,0.6,888,0.361,0,5,3.7,0.001,LOW,0
PL-0262,Barbara Williams,Midwest,1/16,0.7,842,0.356,0,6,3.9,0.001,LOW,0
PL-0212,Robert Perez,Mid-Atlantic,1/4,5.6,145,0.721,0,9,4.6,0.001,LOW,0
