owner_id,owner_name,region,share_type,upsell_prob,upsell_type,upsell_ready
PL-0170,Kenneth Nguyen,West_Coast,1/16,0.0072,NONE,0
PL-0275,Edward Davis,Northeast,1/32,0.0072,NONE,0
PL-0202,Helen Ramirez,Midwest,1/16,0.0072,NONE,0
PL-0103,Joseph Anderson,Mid-Atlantic,1/32,0.0071,NONE,0
PL-0144,Scott Taylor,Northeast,1/32,0.007,NONE,0
PL-0178,Patricia Walker,Mid-Atlantic,1/8,0.007,NONE,0
PL-0082,Jennifer Martinez,Northeast,1/8,0.007,NONE,0
PL-0331,Michelle King,Midwest,1/8,0.0069,NONE,0
PL-0286,Laura Sanchez,Mid-Atlantic,1/16,0.0069,NONE,0
PL-0264,Robert Hill,Northeast,1/4,0.0069,NONE,0
PL-0221,Jennifer Sanchez,Midwest,1/4,0.0068,NONE,0
PL-0010,Ruth Martin,Southeast,1/8,0.0067,NONE,0
PL-0118,Robert Smith,Southeast,1/8,0.0067,NONE,0
PL-0145,William Allen,Southeast,1/32,0.0065,NONE,0
PL-0049,Kevin Davis,Northeast,1/32,0.0065,NONE,0
PL-0067,Edward Perez,Southeast,1/16,0.0065,NONE,0
PL-0023,Mark Thompson,Northeast,1/16,0.0064,NONE,0
PL-0288,Robert Sanchez,Southeast,1/32,0.0064,NONE,0
PL-0222,Joseph Garcia,West_Coast,1/16,0.0063,NONE,0
PL-0088,Karen Lewis,Southeast,1/8,0.0062,NONE,0
PL-0330,Michael Scott,Mid-Atlantic,1/16,0.0057,NONE,0
PL-0273,John White,Northeast,1/16,0.0057,NONE,0
PL-0153,Karen Miller,Northeast,1/16,0.0057,NONE,0
PL-0107,Karen Brown,Northeast,1/16,0.0056,NONE,0
PL-0006,Michael Torres,West_Coast,1/16,0.0055,NONE,0
PL-0100,John Perez,Midwest,1/8,0.0054,NONE,0
PL-0220,Brian Brown,Northeast,1/32,0.0054,NONE,0
PL-0199,Anthony Garcia,Southeast,1/8,0.0054,NONE,0
PL-0166,Andrew Davis,Midwest,1/16,0.0053,NONE,0
PL-0132,Kenneth Garcia,West_Coast,1/32,0.0052,NONE,0
PL-0051,David Martinez,Mid-Atlantic,1/8,0.0052,NONE,0
PL-0334,Jennifer Thomas,Northeast,1/8,0.0051,NONE,0
PL-0085,Linda Moore,Midwest,1/16,0.005,NONE,0
PL-0129,James Taylor,Northeast,1/16,0.0048,NONE,0
PL-0143,John Wright,Mid-Atlantic,1/32,0.0048,NONE,0
PL-0241,Charles Hill,Southeast,1/16,0.0047,NONE,0
PL-0008,Susan Williams,West_Coast,1/32,0.0047,NONE,0
PL-0300,Elizabeth Garcia,Northeast,1/8,0.0046,NONE,0
PL-0176,Brian Lewis,Northeast,1/32,0.0045,NONE,0
PL-0045,James Torres,Mid-Atlantic,1/32,0.0045,NONE,0
PL-0043,Barbara Lewis,Midwest,1/16,0.0044,NONE,0
PL-0171,Edward Moore,Southeast,1/32,0.0044,NONE,0
PL-0079,Elizabeth Rodriguez,Mid-Atlantic,1/16,0.0044,NONE,0
PL-0326,Laura Walker,Northeast,1/8,0.0043,NONE,0
PL-0245,Sarah Flores,Northeast,1/16,0.0043,NONE,0
PL-0024,Sharon Robinson,Northeast,1/16,0.0043,NONE,0
PL-0125,Edward Hernandez,Mid-Atlantic,1/8,0.0043,NONE,0
PL-0313,George White,Northeast,1/32,0.0042,NONE,0
PL-0095,Charles Taylor,Mid-Atlantic,1/32,0.0042,NONE,0
PL-0188,Kenneth Clark,West_Coast,1/8,0.0041,NONE,0
PL-0080,Helen Allen,Southeast,1/16,0.0041,NONE,0
PL-0179,Nancy Martin,Mid-Atlantic,1/16,0.0041,NONE,0
PL-0342,Mark Taylor,Northeast,1/16,0.0041,NONE,0
PL-0319,Nancy Flores,Northeast,1/16,0.004,NONE,0
PL-0292,Edward Harris,Mid-Atlantic,1/16,0.0039,NONE,0
PL-0217,Laura Young,West_Coast,1/32,0.0039,NONE,0
PL-0253,Jessica Martinez,Midwest,1/16,0.0039,NONE,0
PL-0225,Mark Lewis,West_Coast,1/32,0.0038,NONE,0
PL-0263,Charles Williams,Mid-Atlantic,1/16,0.0038,NONE,0
PL-0140,Ruth Johnson,Midwest,1/32,0.0037,NONE,0
PL-0223,Linda Lopez,Mid-Atlantic,1/4,0.0037,NONE,0
PL-0154,Scott Jackson,Mid-Atlantic,1/16,0.0037,NONE,0
PL-0142,Kenneth Lewis,Northeast,1/16,0.0036,NONE,0
PL-0203,Richard Jones,Southeast,1/8,0.0036,NONE,0
PL-0294,Anthony Thomas,Midwest,1/16,0.0035,NONE,0
PL-0099,Andrew Garcia,Midwest,1/16,0.0035,NONE,0
PL-0239,Edward Young,Northeast,1/8,0.0035,NONE,0
PL-0329,Karen Sanchez,Midwest,1/16,0.0034,NONE,0
PL-0344,Nancy Wilson,Southeast,1/8,0.0034,NONE,0
PL-0238,Anthony Harris,Northeast,1/8,0.0034,NONE,0
PL-0020,Elizabeth Clark,Mid-Atlantic,1/16,0.0034,NONE,0
PL-0101,Ronald Johnson,Mid-Atlantic,1/32,0.0033,NONE,0
PL-0235,Laura Williams,Southeast,1/16,0.0033,NONE,0
PL-0233,William Brown,Northeast,1/32,0.0033,NONE,0
PL-0340,Ronald Lopez,Northeast,1/8,0.0032,NONE,0
PL-0317,Lisa Nguyen,Southeast,1/32,0.0032,NONE,0
PL-0190,Scott Moore,Northeast,1/16,0.0032,NONE,0
PL-0302,Linda Rodriguez,Northeast,1/32,0.003,NONE,0
PL-0279,David Torres,Midwest,1/16,0.003,NONE,0
PL-0146,Helen Jones,Midwest,1/8,0.003,NONE,0
PL-0127,Michelle Thomas,Northeast,1/16,0.0029,NONE,0
PL-0022,William Scott,Northeast,1/8,0.0029,NONE,0
PL-0333,Michael Wright,Mid-Atlantic,1/8,0.0029,NONE,0
PL-0138,Scott Martinez,Northeast,1/32,0.0029,NONE,0
PL-0316,Michael Jackson,Southeast,1/16,0.0029,NONE,0
PL-0200,James Rodriguez,Northeast,1/16,0.0029,NONE,0
PL-0250,Nancy Moore,Northeast,1/32,0.0029,NONE,0
PL-0191,Helen Wilson,Midwest,1/16,0.0028,NONE,0
PL-0040,Anthony Scott,Northeast,1/16,0.0028,NONE,0
PL-0195,Sharon Young,Southeast,1/8,0.0028,NONE,0
PL-0289,Jessica Gonzalez,Northeast,1/32,0.0028,NONE,0
PL-0130,Carol Lee,Northeast,1/16,0.0027,NONE,0
PL-0075,Barbara Johnson,Southeast,1/8,0.0027,NONE,0
PL-0227,Paul Clark,Northeast,1/16,0.0027,NONE,0
PL-0185,Jennifer Perez,Northeast,1/32,0.0027,NONE,0
PL-0324,Donna Anderson,West_Coast,1/16,0.0026,NONE,0
PL-0135,John Martin,Midwest,1/16,0.0026,NONE,0
PL-0155,Anthony Robinson,West_Coast,1/32,0.0024,NONE,0
PL-0276,George Torres,Mid-Atlantic,1/16,0.0024,NONE,0
PL-0157,Nancy Robinson,Southeast,1/8,0.0024,NONE,0
PL-0021,Charles Young,Mid-Atlantic,1/16,0.0024,NONE,0
PL-0187,Ruth Gonzalez,Northeast,1/8,0.0023,NONE,0
PL-0322,John Brown,Southeast,1/16,0.0022,NONE,0
PL-0121,Donna Sanchez,Northeast,1/32,0.0022,NONE,0
PL-0057,Susan Flores,Mid-Atlantic,1/32,0.0022,NONE,0
PL-0320,Brian Allen,Northeast,1/32,0.0022,NONE,0
PL-0174,Linda White,Midwest,1/32,0.0022,NONE,0
PL-0298,Elizabeth Allen,West_Coast,1/32,0.0021,NONE,0
PL-0105,Karen Rodriguez,West_Coast,1/8,0.0021,NONE,0
PL-0091,Brian Davis,Northeast,1/8,0.0021,NONE,0
PL-0031,Scott Garcia,Southeast,1/16,0.0021,NONE,0
PL-0321,Thomas Young,Mid-Atlantic,1/8,0.0021,NONE,0
PL-0270,George Moore,Northeast,1/16,0.0021,NONE,0
PL-0110,William Taylor,Midwest,1/16,0.0021,NONE,0
PL-0004,Robert Garcia,West_Coast,1/8,0.0021,NONE,0
PL-0054,Charles Wright,Northeast,1/8,0.002,NONE,0
PL-0281,Nancy Hernandez,Northeast,1/32,0.002,NONE,0
PL-0077,Sarah Wright,West_Coast,1/16,0.002,NONE,0
PL-0336,Linda King,West_Coast,1/16,0.002,NONE,0
PL-0215,Lisa Gonzalez,Mid-Atlantic,1/32,0.002,NONE,0
PL-0120,Richard Ramirez,Northeast,1/16,0.002,NONE,0
PL-0206,Karen Lee,Midwest,1/32,0.0019,NONE,0
PL-0156,Lisa Garcia,Northeast,1/16,0.0019,NONE,0
PL-0218,Susan Young,Northeast,1/16,0.0019,NONE,0
PL-0262,Barbara Williams,Midwest,1/16,0.0019,NONE,0
PL-0290,Kenneth Hill,Northeast,1/8,0.0019,NONE,0
PL-0332,Jessica Hernandez,West_Coast,1/32,0.0019,NONE,0
PL-0230,Donna Lewis,Mid-Atlantic,1/32,0.0018,NONE,0
PL-0126,Kenneth Allen,Mid-Atlantic,1/4,0.0018,NONE,0
PL-0090,Carol Gonzalez,Mid-Atlantic,1/16,0.0018,NONE,0
PL-0039,Thomas Allen,West_Coast,1/8,0.0018,NONE,0
PL-0087,William Lewis,Midwest,1/32,0.0018,NONE,0
PL-0173,Jessica Moore,West_Coast,1/16,0.0016,NONE,0
PL-0061,Ronald Thompson,Northeast,1/16,0.0015,NONE,0
PL-0272,Ruth Thompson,Mid-Atlantic,1/16,0.0015,NONE,0
PL-0025,Karen Walker,Mid-Atlantic,1/32,0.0015,NONE,0
PL-0234,Mark White,West_Coast,1/16,0.0015,NONE,0
PL-0210,Brian Garcia,Mid-Atlantic,1/16,0.0014,NONE,0
PL-0007,Ruth Nguyen,Northeast,1/32,0.0014,NONE,0
PL-0098,Mark Clark,Mid-Atlantic,1/8,0.0014,NONE,0
PL-0299,Thomas Garcia,Northeast,1/16,0.0013,NONE,0
PL-0287,Kevin Lopez,Mid-Atlantic,1/16,0.0013,NONE,0
PL-0296,William Rodriguez,Midwest,1/32,0.0013,NONE,0
PL-0325,Sharon Rodriguez,West_Coast,1/32,0.0013,NONE,0
PL-0282,William Miller,Northeast,1/32,0.0012,NONE,0
PL-0093,Edward Jones,Mid-Atlantic,1/8,0.0012,NONE,0
PL-0044,Mark Hill,Northeast,1/32,0.0012,NONE,0
PL-0201,Lisa Rodriguez,Northeast,1/8,0.0012,NONE,0
PL-0274,Barbara Smith,Northeast,1/16,0.0012,NONE,0
PL-0254,George Taylor,Southeast,1/16,0.0012,NONE,0
PL-0228,Kenneth Thompson,Northeast,1/8,0.0012,NONE,0
PL-0139,Robert Allen,Mid-Atlantic,1/16,0.0011,NONE,0
PL-0169,Sarah White,Southeast,1/8,0.0011,NONE,0
PL-0046,Steven Flores,Northeast,1/8,0.0011,NONE,0
PL-0303,Patricia Anderson,Mid-Atlantic,1/32,0.0011,NONE,0
PL-0257,Nancy Anderson,Midwest,1/8,0.0011,NONE,0
PL-0295,Jennifer Walker,West_Coast,1/8,0.0011,NONE,0
PL-0065,Paul Garcia,Northeast,1/16,0.0011,NONE,0
PL-0026,Michael Martin,Southeast,1/8,0.001,NONE,0
PL-0136,David Nguyen,Midwest,1/32,0.001,NONE,0
PL-0161,Michelle Allen,Northeast,1/32,0.001,NONE,0
PL-0266,Jennifer Flores,West_Coast,1/8,0.001,NONE,0
PL-0018,Helen Young,West_Coast,1/16,0.001,NONE,0
PL-0246,Richard Clark,West_Coast,1/16,0.001,NONE,0
PL-0072,Charles Scott,West_Coast,1/8,0.001,NONE,0
PL-0269,Donna Garcia,Southeast,1/16,0.0009,NONE,0
PL-0205,James Wright,Southeast,1/8,0.0009,NONE,0
PL-0052,Sarah Walker,Southeast,1/16,0.0009,NONE,0
PL-0261,Richard Hill,West_Coast,1/32,0.0009,NONE,0
PL-0213,Steven Sanchez,West_Coast,1/16,0.0009,NONE,0
PL-0349,Barbara Sanchez,Northeast,1/8,0.0009,NONE,0
PL-0030,Thomas Thomas,Northeast,1/32,0.0008,NONE,0
PL-0198,Charles King,Mid-Atlantic,1/32,0.0008,NONE,0
PL-0338,William Martin,West_Coast,1/32,0.0008,NONE,0
PL-0256,Susan Lewis,West_Coast,1/8,0.0008,NONE,0
PL-0108,Karen Johnson,Southeast,1/8,0.0008,NONE,0
PL-0003,Sharon Brown,Mid-Atlantic,1/32,0.0008,NONE,0
PL-0255,Richard Robinson,Northeast,1/32,0.0008,NONE,0
PL-0229,Edward Garcia,Northeast,1/16,0.0008,NONE,0
PL-0291,Brian Martin,West_Coast,1/8,0.0008,NONE,0
PL-0248,Anthony Flores,Mid-Atlantic,1/32,0.0008,NONE,0
PL-0242,Andrew Robinson,Midwest,1/32,0.0008,NONE,0
PL-0335,Richard Smith,West_Coast,1/16,0.0007,NONE,0
PL-0092,Andrew Jones,Mid-Atlantic,1/16,0.0007,NONE,0
PL-0163,George Johnson,Southeast,1/16,0.0007,NONE,0
PL-0096,George Young,Southeast,1/32,0.0007,NONE,0
PL-0151,Sarah Martin,Northeast,1/32,0.0007,NONE,0
PL-0041,George Sanchez,Northeast,1/8,0.0007,NONE,0
PL-0347,Donna Walker,West_Coast,1/16,0.0007,NONE,0
PL-0027,Nancy Harris,West_Coast,1/16,0.0007,NONE,0
PL-0116,Nancy Lewis,West_Coast,1/32,0.0007,NONE,0
PL-0150,William Hill,Northeast,1/32,0.0007,NONE,0
PL-0219,Michelle Martinez,Northeast,1/8,0.0006,NONE,0
PL-0327,James Thomas,Southeast,1/16,0.0006,NONE,0
PL-0283,Linda Martin,Southeast,1/32,0.0006,NONE,0
PL-0060,Kevin Taylor,West_Coast,1/32,0.0006,NONE,0
PL-0293,Ronald Allen,Mid-Atlantic,1/16,0.0006,NONE,0
PL-0259,William White,Mid-Atlantic,1/16,0.0006,NONE,0
PL-0301,Thomas Johnson,Southeast,1/32,0.0006,NONE,0
PL-0345,Patricia Taylor,Northeast,1/4,0.0005,NONE,0
PL-0002,William Wright,West_Coast,1/32,0.0005,NONE,0
PL-0034,Paul Harris,West_Coast,1/8,0.0005,NONE,0
PL-0058,George Anderson,Midwest,1/16,0.0005,NONE,0
PL-0249,Donna Davis,Northeast,1/16,0.0005,NONE,0
PL-0109,Sarah Garcia,Southeast,1/16,0.0005,NONE,0
PL-0119,Elizabeth Walker,Mid-Atlantic,1/32,0.0005,NONE,0
PL-0147,Sarah Jones,Mid-Atlantic,1/8,0.0005,NONE,0
PL-0337,Laura Lopez,Southeast,1/16,0.0004,NONE,0
PL-0175,Carol Wilson,West_Coast,1/16,0.0004,NONE,0
PL-0112,Karen Flores,Northeast,1/8,0.0004,NONE,0
PL-0001,Andrew Martinez,Southeast,1/8,0.0004,NONE,0
PL-0310,Kenneth Hernandez,West_Coast,1/32,0.0003,NONE,0
PL-0056,Patricia Thompson,Midwest,1/8,0.0003,NONE,0
PL-0231,Steven Walker,Northeast,1/16,0.0003,NONE,0
